Entered by,CASE STUDY,Organisation,INITIAL CONTACT,Focus Area,Category,Country,Contact Information,Website,Website Active?,Instagram,Instagram Active 2025/26?,Year Established,Trading Status,Ownership,Core model,Company Size data,Customers,Geographic scope,Categories,Partners,Partner Category,Data (Plastic saved),Data (Co2 Reduction),Key Facts,Anything else,Comments
Jishnu,,Waterpod by I-Drop,"26/06, Jishnu",Refill Stations,Business Service Provider,South Africa,https://www.facebook.com/idropwater/,https://www.purewaterpod.com/,Yes,,,,Active,Private,Self-service Waterpods dispensing purified water for reusable bottle refill in grocery/hospitality,,,South Africa,,,,,,,,Operates self service Waterpods that dispense purified water to refill reusable bottles in grocery stores and hospitality venues.
Prathmesh ,,We Fill Good,"24/06, Jishnu",Refill and Reuse supply chain ,Consumer Goods,United States,marla@wefillgoodseacoast.com,https://www.wefillgoodseacoast.com/,Yes,,,,Active,Private,Local circular economy store with reusable and recyclable consumer goods,,,United States,,,,,,,,Local store exercising a circular economy and offering a blend of reusable and recyclable consumer goods 
Jishnu,,Well Spent Grain,not suitable currently,Zero Waste,Consumer Goods,Ireland,wellspentgrain@gmail.com,https://well-spent-grain.com/,,,,,,,,,,,,,,,,,,"Converts brewery by‑product into upcycled snack bars under retail partnership, promoting waste‑to‑value food reuse"
Krita,,Wheedle,low priority,Reusable Products ,Consumer Goods ,India,hello@gowheedle.com ,https://www.gowheedle.com/,,,,,,,,,,,,,,,,,,Online shopping platform with curated selection of pre-loved (second hand and/or unboxed) baby & kids’ products.
Prathmesh,,Wild Deodrant,"27/06, Jishnu",Sustainable Packaging,Consumer Goods,United Kingdom,sophie.attwood@sa-comms.com,https://wearewild.com/,Yes,wearewild,Yes,2020,Active,Private limited company,B2C refillable deodorant and body wash (subscription + retail),,,UK and Europe,,,,,,⚠ DUPLICATE of Wild (wearewild.com).,,Offers personal hygiene products with a focus on refill and reducing single-use plastics​
Prathmesh,,Wildcraft,"01/07, Jishnu",Sustainable Products,Cosmetics,Canada,hello@wildcraftcare.com,https://wildcraftcare.ca/,Yes,,,,Active,Private,Zero-waste skincare with refill program in glass/aluminium packaging + charitable giving,,,Canada,,,,,,,,Glass/aluminum sustainable packaging with a refill program; zero-waste skincare with a charitable giving model
Jishnu,,Wobz,not suitable currently,Reusable Packaging ,Packaging Solutions,France,https://wobz-reuse.com/contact/,https://wobz-reuse.com/,Yes,,,,Active,Private,Reusable packaging for e-commerce and retail (closed-loop rental with traceable containers),,,France,,,,,,,,Provides reusable packaging for e‑commerce and retail using a closed‑loop rental model with traceable containers.
Kaat,,Woodly,"04/07, Jishnu",Reusable Products,Reusable Packaging,Finland,kenneth.lindfors@woodly.com,https://woodly.com,Yes,,,,Active,Private,B2B plant-based plastic alternatives from sustainable wood cellulose materials (reusable),,,Finland,,,,,,,,Develops plastic alternatives that are reusable 
Kaat,,Woola,"03/07, Jishnu",Sustainable Packaging,Packaging Solutions,Estonia,hi@woola.io,https://www.woola.io/?gad_source=1&gad_campaignid=22316515196&gbraid=0AAAAAoyV3gL0vmSp5RzOUaSge1FESAemB&gclid=CjwKCAjwo4rCBhAbEiwAxhJlCUbW3rb7Sil1W7UwdyhrRjz5RbRw4eUdbAmqzyt59ZhbC0nPgPzKQxoCyJEQAvD_BwE,Yes,woola.io,Yes,2018,Active,Private,Reusable bubble wrap alternative made from waste sheep wool,,,Estonia and global,,,,,,,,A sustainable and reusable replacement for bubble plastic made from waste sheep wool
Jishnu,,Woosh Water,not suitable currently,Refill Stations,Consumer Services,Israel,https://www.wooshwater.com/contact-us/,https://www.wooshwater.com/,,,,,,,,,,,,,,,,,,Smart water refill stations in indoor and outdoor locations let people sanitise and fill reusable bottles with purified water.
Jishnu,,Wura,low priority,Reusable Products ,Shared-use Rental Services,Nigeria,hello@wura.app,https://wura.app/,Yes,,,,Active,Private,"Free household item exchange platform (reduce waste, promote extended material reuse)",,,Nigeria,,,,,,,,Enables Nigerians to exchange usable household items for free to reduce waste and promote extended material reuse.
"Mehak, 29/06",,XICLO / Biocírculo,low priority,Recycled HDPE packaging,"Industrial cleaning, consumer",Colombia,contacto@biocirculo.com,https://biocirculo.com/,,,,,,,,,,,,,,,,,,Suppliers for refill-focused brands in Colombia
Jishnu,,XXL Refill,not suitable currently,Refill Stations,Consumer Goods ,Portugal,portugal@xxlrefill.pt,http://www.xxlrefill.pt/,,,,,,,,,,,,,,,,,,"Operates professional ink‑cartridge refill outlets nationwide, reducing electronic packaging waste through specialised reuse services."
"Kaat, 29/06",,Yes Future,29/06,Refillable Products ,Consumer goods ,Spain,HOLA@YESFUTURE.STORE,https://yesfuture.store,Yes,,,,Active,Private,Zero-waste supermarket with bulk dispensers — customers bring own containers,,,Spain,,,,,,,,Supermarkt that has implemented the zero waste concept; customers bring own containers and buy from bulk dispensers
Kaat,,Yope,"03/07, Jishnu",Refillable products ,Cosmetics,Poland,https://yopeme.com/en-GB/customer-service/contact,https://yopeme.com,Yes,yopeme,Yes,,Active,Private,B2C cosmetics + refill stations via Swapp partnership (Poland),,,Poland,,,,,,,,Worked together with Swapp to offer their cosmetics at refill stations
Prathmesh ,,Your Sustainable store,low priority,Sustainable Goods,Consumer Goods,Singapore,yoursustainablestore@gmail.com,https://yoursustainablestore.com/,,,,,,,,,,,,,,,,,,"Local store offering reffils, sustainable daily consumer goods and advocacy options aimed at reducing local plastic waste"
Giulia ,,YourGreenKit ,not suitable currently,Reusable Packaging ,Reusable Packaging ,Luxembourg ,info@yourgreenkit.lu ,https://www.infogreen.lu/,Yes,,,,Active,Private,Subscription reusable food containers and cups tracked via tech with loyalty points,,,Luxembourg,,,,,,,,"Offers a subscription model that provides  reusable food contianer and cups, tracked via technology incentivised with loyalty points. "
Prathmesh,,Z.W. Mercantile,"01/07, Jishnu",Zero Waste,Consumer Goods,United States,cooksemp@gmail.com,https://www.shopclarkandmain.com/zw-mercantile,Yes,,,,Active,Private,"Bulk refills of cleaning, personal care and pantry staples (minimal packaging, zero waste)",,,United States,,,,,,,,"Offers bulk refills of cleaning supplies, personal care items, and pantry staples in-store, with minimal packaging promoting zero waste"
Jishnu,,Zacros,low priority,Refillable Products,Consumer Goods ,Japan,https://www.zacros.co.jp/en/contact/,https://www.zacros.co.jp/en/,Yes,,,,Active,Private (Showa Denko Packaging),Ultra-light refill pouches for home care goods (substantially less plastic use),,,Japan,,,,,,,,"Packaging manufacturer popularized ultra-light refill pouches for home care goods, substantially reducing plastic use."
Giulia ,,Zemito ,"04/07, Jishnu",Refillable Products ,Consumer goods ,Slovakia ,info@zemito.sk,https://www.zemito.sk/kozmetika-na-holenie/,Yes,,,,Active,Private,Refillable personal care and home products,,,Slovakia,,,,,,,,Offers refillable goods for personal care and home products 
Selina,,Zero Co,not suitable currently,Sustainable Household Products,Household Products,Australia,hello@zeroco.com.au,https://www.zeroco.com.au/,No,,,,Ceased trading,Private (dissolved),Refillable household products subscription — CEASED TRADING,,,Australia,,,,,,Confirmed ceased trading.,,Offers refillable household products aimed at reducing plastic waste​ - CEASED TRADING
Kaat,,Zero Impack,"02/07, Jishnu",Reusable Packaging ,Packaging solutions ,Italy,https://www.zeroimpack.com/contact,https://www.zeroimpack.com,Yes,,,,Active,Private,Reusable packaging for food delivery services,,,Italy,,,,,,,,Reusable packging for food delivery service
JIshnu,,Zero Market,"26/06, Jishnu",Zero Waste,Consumer Goods,Mexico,https://www.zeromarket.mx/contacto/,https://www.zeromarket.mx/,Yes,,,,Active,Private,"Plastic-free bulk store for food, shampoo, soaps at Mexico City stores and bazaars",,,Mexico,,,,,,,,"Bulk food, shampoo, creams, and soaps sold plastic-free at Mexico City stores and bazaars, encouraging refill habits."
Jishnu,,Zero PC,low priority,Reusable Products ,Consumer Goods ,Japan,https://shop.peopleport.jp/f/inquiry?_gl=1*pcqzgr*_gcl_au*MTU3NTQ4Nzg0Mi4xNzQ5NjUwMjQ4&_ga=2.6267699.1268704113.1749650248-362970505.1749650248,https://zeropc.jp/,Yes,,,,Active,Private,"Laptop refurbishment + refugee employment (extending electronics life, preventing e-waste)",,,Japan,,,,,,,,"Upcycles laptops and hires refugees, thus extending electronics life and preventing e-waste through refurbishment."
Prathmesh,,Zero Store,"27/06, Jishnu",Zero Waste,Consumer Goods,United Kingdom,hello@zerostore.co.uk,https://zerostore.co.uk/,Yes,,,,Active,Private,Zero-waste product store eliminating single-use plastic,,,United Kingdom,,,,,,,,Aims at products with zero waste with focus on eliminating single use plastic 
Giulia ,,Zero Waste Austria,not suitable currently,Zero Waste advocacy ,Community networking for sustainable practice ,Austria,info@zerowasteaustria.at ,https://www.zerowasteaustria.at/,Yes,,,,Active,Non-profit,Resource-saving circular economy advocacy + stakeholder network (online and offline),,,Austria,,,,,,,,Non-profit that promotes a resource-saving corporate culture and connects stakeholders online and offline in order to publicise and implement projects and campaigns nationwide.
Jishnu,,Zero Waste Delivery,"03/07, Jishnu",Zero Waste ,Consumer Services,United Kingdom,info@zerowastedelivery.com,https://zerowastedelivery.com/,Yes,,,,Active,Private,Electric van home delivery in reusable/refillable packaging + empty collection and sanitisation,,,United Kingdom,,,,,,,,"Operates electric-van home delivery of household essentials in reusable or refillable packaging, collecting empties for sanitisation and reuse, eliminating single-use plastic waste."
Jishnu,,Zero Waste Earth Store,low priority,Refillable Products,Consumer Goods,Malaysia,support@zerowasteearthstore.com,https://zerowasteearthstore.com/,Yes,,,,Active,Private social enterprise,Bulk refills (BYOC) + zero-waste shopping + repurposing initiatives,,,Malaysia,,,,,,,,"A social enterprise offering bulk refills to customers bringing their own containers, zero-waste shopping, and repurposing initiatives."
Mehak,,Zero Waste Harare (women‑led),low priority,Plastic collection & resale for reuse,Recycling / reuse advocacy,Zimbabwe,https://www.hararecity.co.zw/,,,,,,,,,,,,,,,,,,,"Operates from Willowvale, collecting containers from community"
Jishnu,,Zero Waste Kenya,low priority,Zero Waste advocacy ,Community networking for sustainable practice ,Kenya,https://zerowastekenya.org/contact-us/,https://zerowastekenya.org/,Yes,,,,Active,Non-profit,"National waste reduction, reuse and recycling advocacy + circular economy business/policy support",,,Kenya,,,,,,,,National nonprofit platform promoting sustainable waste reduction reuse and recycling practices and supporting circular economy businesses and policy.
Jishnu,,Zero Waste Malaysia,low priority,Zero Waste advocacy ,Community networking for sustainable practice ,Malaysia,info@zerowastemalaysia.org,https://zerowastemalaysia.org/,Yes,,,,Active,Non-profit,"Reuse, refill and sustainable living promotion + national refill spot mapping",,,Malaysia,,,,,,,,"Non-profit promoting reuse, refill and sustainable living, also mapping refill spots nationwide."
Jishnu,,Zero Waste on Wheels,"04/07, Jishnu",Refill Stations,Consumer Goods,United Kingdom,hello@zerowasteonwheels.com,https://www.zerowasteonwheels.com/,Yes,,,,Active,Private,"Mobile refill service delivering to doors and markets (shampoo, conditioner, detergents, eco swaps)",,,United Kingdom,,,,,,,,"A mobile refill service delivering shampoo, conditioner, detergents, eco swaps, and plastic-free alternatives directly to customers’ doors and markets."
Prathmesh,,Zero Waste Reserve,"01/07, Jishnu",Zero Waste,Consumer Goods,United States,hello@zerowastereserve.com,https://www.zerowastereserve.com/,,,,,,,,,,,,,,,,,,Offers a wide range of eco-friendly consumer products that generate minimal waste
Kaat,,Zero Waste Sofia,not suitable currently,Refill Stations,Consumer Goods,Bulgaria,zerowastesofia@gmail.com,https://zerowastesofia.com,Yes,,,,Active,Non-profit,Installing and mapping refill water stations to promote reuse,,,Bulgaria,,,,,,,,Installs and maps refill water stations to promote reuse
Prathmesh,,Zero Waste Store,"01/07, Jishnu",Eco-Friendly Household Products,Consumer Goods,United States,info@zerowastestore.com,https://zerowastestore.com/,,,,,,,,,,,,,,,,,,Provides eco-friendly consumer goods designed to ensure zero waste
Giulia ,,Zero Waste Store NL,"01/07, Jishnu",Refillable products ,Consumer Goods ,Netherlands,info@zerowastestore.nl ,https://zerowastestore.nl/,Yes,,,,Active,Private,Zero-waste store with home and body product refills,,,Netherlands,,,,,,,,Zero waste store offering refills for home and body products.
Giulia ,,Zeroo,"01/07, Jishnu",Refill Stations ,Consumer Goods ,Portugal,geral@theloop.pt ,https://www.zeroo.pt/,Yes,,,,Active,Private,Circular economy smart bulk refill stations with traceable cups in Portugal,,,Portugal,,,,,,,,Offers a circular economy smart bulk refill stations with traceable cups .
Kaat,,Zerooo,"27/06, Jishnu",Reusable Packagaing,Packaging Solutions,Germany,https://zerooo.com/kontakt/,https://zerooo.com,Yes,,,,Active,Private,Deposit-returnable PET/glass containers for detergents and skincare,,,Germany,,,,,,,,"Produces reusable containers, they are recycled at the end of their life cycle"
Giulia ,,Zerooo,45840,Reusable packaging ,Consumer Goods ,Germany,info@zerooo.com ,https://zerooo.com/,Yes,,,,Active,Private,Deposit-returnable PET/glass containers for detergents and skincare,,,Germany,,,,,,,,Offers deposit-returnable PET/glass containers for detergents & skincare
Kaat,,Zeropolitan,low priority,Zero Waste ,Consumer Goods ,Pakistan,https://www.zeropolitan.com.au/en-intl/pages/contact,https://www.zeropolitan.com.au/en-intl?utm_source=chatgpt.com&shpxid=57e57f62-b2f0-4341-af90-788f469c03ce,,,,,,,,,,,,,,,,,,Zero waste shop that sells eco-friendly products
